Date,Close
3/21/2005,66.849998
3/22/2005,66.790001
3/23/2005,68.199997
3/24/2005,68.089996
3/28/2005,68.349998
3/29/2005,67.919998
3/30/2005,68.050003
3/31/2005,67.160004
4/1/2005,66.849998
4/4/2005,67.980003
4/5/2005,69.010002
4/6/2005,68.809998
4/7/2005,69.239998
4/8/2005,68.639999
4/11/2005,68.889999
4/12/2005,68.639999
4/13/2005,68.589996
4/14/2005,69.25
4/15/2005,69.400002
4/18/2005,69.040001
4/19/2005,69.050003
4/20/2005,68.099998
4/21/2005,68.290001
4/22/2005,68.489998
4/25/2005,68.540001
4/26/2005,68.019997
4/27/2005,68.330002
4/28/2005,67.660004
4/29/2005,68.629997
5/2/2005,68.779999
5/3/2005,68.730003
5/4/2005,68.220001
5/5/2005,68.510002
5/6/2005,68.209999
5/9/2005,68.169998
5/10/2005,67.730003
5/11/2005,67.949997
5/12/2005,67.650002
5/13/2005,67.099998
5/16/2005,67.639999
5/17/2005,67.910004
5/18/2005,67.599998
5/19/2005,67.410004
5/20/2005,67.199997
5/23/2005,67.260002
5/24/2005,67.599998
5/25/2005,67.470001
5/26/2005,67.419998
5/27/2005,67.43
5/31/2005,67.099998
6/1/2005,67.309998
6/2/2005,67
6/3/2005,66.440002
6/6/2005,66.379997
6/7/2005,66.540001
6/8/2005,66.360001
6/9/2005,66.730003
6/10/2005,66.480003
6/13/2005,66.470001
6/14/2005,66.580002
6/15/2005,66.349998
6/16/2005,66.300003
6/17/2005,66.559998
6/20/2005,66.550003
6/21/2005,66.529999
6/22/2005,66
6/23/2005,65.349998
6/24/2005,65.580002
6/27/2005,65.650002
6/28/2005,66.07
6/29/2005,65.699997
6/30/2005,65
7/1/2005,64.949997
7/5/2005,64.849998
7/6/2005,64.150002
7/7/2005,63.919998
7/8/2005,64.279999
7/11/2005,64.790001
7/12/2005,64.779999
7/13/2005,64.419998
7/14/2005,64.599998
7/15/2005,65.029999
7/18/2005,64.599998
7/19/2005,65.019997
7/20/2005,64.959999
7/21/2005,63.98
7/22/2005,64.32
7/25/2005,63.34
7/26/2005,62.669998
7/27/2005,64.540001
7/28/2005,64.730003
7/29/2005,63.959999
8/1/2005,64.5
8/2/2005,64.629997
8/3/2005,64.870003
8/4/2005,64.150002
8/5/2005,63.540001
8/8/2005,63.439999
8/9/2005,64.019997
8/10/2005,63.849998
8/11/2005,64.309998
8/12/2005,63.560001
8/15/2005,63.349998
8/16/2005,63.009998
8/17/2005,63.5
8/18/2005,64.25
8/19/2005,63.57
8/22/2005,63.5
8/23/2005,62.759998
8/24/2005,62.25
8/25/2005,62.529999
8/26/2005,61.939999
8/29/2005,63.009998
8/30/2005,63
8/31/2005,63.389999
9/1/2005,63.130001
9/2/2005,62.900002
9/6/2005,63.790001
9/7/2005,64.800003
9/8/2005,64.099998
9/9/2005,64.730003
9/12/2005,64.68
9/13/2005,64.050003
9/14/2005,64.300003
9/15/2005,64.370003
9/16/2005,65.18
9/19/2005,64.650002
9/20/2005,64.400002
9/21/2005,64.699997
9/22/2005,64.68
9/23/2005,63.990002
9/26/2005,63.869999
9/27/2005,63.450001
9/28/2005,63.209999
9/29/2005,63.75
9/30/2005,63.279999
10/3/2005,62.580002
10/4/2005,63.049999
10/5/2005,62.25
10/6/2005,61.57
10/7/2005,61.34
10/10/2005,61.470001
10/11/2005,61.290001
10/12/2005,61.799999
10/13/2005,64.019997
10/14/2005,63.700001
10/17/2005,63
10/18/2005,62.970001
10/19/2005,64.32
10/20/2005,64.169998
10/21/2005,64.07
10/24/2005,64.099998
10/25/2005,63.580002
10/26/2005,62.810001
10/27/2005,61.439999
10/28/2005,62.950001
10/31/2005,62.619999
11/1/2005,61.900002
11/2/2005,61.299999
11/3/2005,61.200001
11/4/2005,60.880001
11/7/2005,61.43
11/8/2005,60.77
11/9/2005,61.02
11/10/2005,61.41
11/11/2005,60.919998
11/14/2005,60.509998
