,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,NVDA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,NVIDIA Corporation,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,257.25,,+1.84,+0.72%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"635,408M",147.65,1.76,,,
,,,,,,36 Months
,,,,,,
,,,,,,
,NVDA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 24, 2021",220.70,221.49,218.61,220.81,"21,765,545"
,"Sep 27, 2021",217.10,217.99,213.25,216.60,"24,521,514"
,"Sep 28, 2021",212.14,214.19,206.51,206.99,"34,306,895"
,"Sep 29, 2021",209.40,210.17,204.67,205.17,"21,839,363"
,"Sep 30, 2021",207.68,210.66,206.88,207.16,"22,100,912"
,"Oct 1, 2021",207.50,208.59,202.03,207.42,"24,097,796"
,"Oct 4, 2021",205.04,205.42,195.55,197.32,"34,563,497"
,"Oct 5, 2021",199.50,206.48,198.54,204.51,"27,928,165"
,"Oct 6, 2021",201.20,207.20,200.80,207.00,"29,720,175"
,"Oct 7, 2021",210.92,213.22,209.72,210.75,"25,691,893"
,"Oct 8, 2021",211.01,212.06,207.75,208.31,"15,125,791"
,"Oct 11, 2021",205.75,210.63,205.11,206.95,"16,338,754"
,"Oct 12, 2021",208.28,210.57,205.28,206.71,"16,213,354"
,"Oct 13, 2021",209.18,209.90,207.13,209.39,"18,065,188"
,"Oct 14, 2021",212.88,217.55,211.22,217.46,"24,358,881"
,"Oct 15, 2021",218.10,219.31,216.62,218.62,"22,699,401"
,"Oct 18, 2021",217.49,222.91,216.44,222.22,"18,949,356"
,"Oct 19, 2021",222.76,223.79,220.37,222.90,"16,147,329"
,"Oct 20, 2021",223.05,224.33,219.82,221.03,"14,627,594"
,"Oct 21, 2021",220.97,227.11,220.83,226.92,"18,759,032"
,"Oct 22, 2021",228.23,231.30,225.61,227.26,"24,938,379"
,"Oct 25, 2021",229.73,233.55,227.70,231.66,"23,023,483"
,"Oct 26, 2021",239.89,252.59,239.24,247.17,"48,589,830"
,"Oct 27, 2021",244.74,250.90,242.82,244.51,"24,598,989"
,"Oct 28, 2021",248.78,249.50,245.23,249.41,"23,420,431"
,"Oct 29, 2021",250.01,257.09,250.00,255.67,"29,250,284"
,"Nov 1, 2021",256.49,258.94,252.27,258.27,"26,573,976"
,"Nov 2, 2021",258.22,266.78,258.00,264.01,"29,411,239"
,"Nov 3, 2021",266.70,267.84,262.35,265.98,"23,991,033"
,"Nov 4, 2021",272.29,313.65,271.18,298.01,"115,363,115"
,"Nov 5, 2021",301.87,314.00,294.10,297.52,"85,126,015"
,"Nov 8, 2021",301.49,311.00,299.07,308.04,"50,310,093"
,"Nov 9, 2021",322.82,323.10,299.64,306.57,"64,674,621"
,"Nov 10, 2021",293.56,308.50,287.78,294.59,"63,620,572"
,"Nov 11, 2021",304.68,305.90,297.77,303.90,"33,217,211"
,"Nov 12, 2021",300.10,306.80,296.30,303.90,"41,305,428"
,"Nov 15, 2021",305.52,306.44,292.47,300.25,"38,490,900"
,"Nov 16, 2021",297.59,303.90,297.06,302.03,"26,448,367"
,"Nov 17, 2021",304.18,305.09,288.00,292.61,"42,850,799"
,"Nov 18, 2021",323.67,327.60,313.21,316.75,"78,171,075"
,"Nov 19, 2021",322.43,330.88,319.05,329.85,"53,386,665"
,"Nov 22, 2021",335.17,346.47,319.00,319.56,"75,433,524"
,"Nov 23, 2021",315.35,323.60,308.80,317.46,"53,216,270"
,"Nov 24, 2021",314.61,328.55,309.28,326.74,"43,516,226"
,"Nov 26, 2021",326.00,327.10,313.50,315.03,"28,306,886"
,"Nov 29, 2021",323.66,334.12,320.36,333.76,"45,496,398"
,"Nov 30, 2021",331.69,333.53,318.64,326.76,"62,206,647"
,"Dec 1, 2021",332.19,332.89,313.80,314.35,"48,580,204"
,"Dec 2, 2021",312.14,324.78,310.25,321.26,"47,289,033"
,"Dec 3, 2021",320.00,321.29,301.30,306.93,"54,432,505"
,"Dec 6, 2021",298.80,302.41,280.38,300.37,"65,893,845"
,"Dec 7, 2021",309.57,324.49,306.51,324.27,"59,305,348"
,"Dec 8, 2021",319.99,322.90,314.21,318.26,"47,555,145"
,"Dec 9, 2021",317.34,322.05,304.28,304.90,"48,850,716"
,"Dec 10, 2021",311.50,313.05,298.61,301.98,"48,882,509"
,"Dec 13, 2021",302.49,302.94,281.16,281.61,"59,834,366"
,"Dec 14, 2021",276.99,286.78,272.50,283.37,"66,703,537"
,"Dec 15, 2021",284.00,305.00,278.38,304.59,"69,829,688"
,"Dec 16, 2021",311.52,311.60,280.93,283.87,"70,736,595"
,"Dec 17, 2021",279.85,289.22,277.60,278.01,"71,662,239"
,"Dec 20, 2021",273.05,281.44,271.45,277.19,"46,184,676"
,"Dec 21, 2021",283.74,291.20,274.01,290.75,"52,438,494"
,"Dec 22, 2021",288.91,295.55,284.49,294.00,"39,518,438"
,"Dec 23, 2021",297.55,300.59,294.31,296.40,"34,302,174"
,"Dec 27, 2021",296.60,310.87,296.40,309.45,"40,368,587"
,"Dec 28, 2021",313.12,313.30,300.12,303.22,"42,059,121"
,"Dec 29, 2021",302.73,305.48,293.66,300.01,"34,313,928"
,"Dec 30, 2021",298.27,304.57,295.40,295.86,"30,886,422"
,"Dec 31, 2021",296.74,300.30,293.31,294.11,"26,652,991"
,"Jan 3, 2022",298.15,307.11,297.85,301.21,"39,240,294"
,"Jan 4, 2022",302.77,304.68,283.49,292.90,"52,715,440"
,"Jan 5, 2022",289.49,294.16,275.33,276.04,"49,806,388"
,"Jan 6, 2022",276.40,284.38,270.65,281.78,"45,418,637"
,"Jan 7, 2022",281.41,284.22,270.57,272.47,"40,993,851"
,"Jan 10, 2022",265.81,274.69,256.44,274.00,"59,468,095"
,"Jan 11, 2022",273.23,280.65,268.39,278.17,"40,408,929"
,"Jan 12, 2022",280.67,285.95,276.08,279.99,"38,341,348"
,"Jan 13, 2022",283.79,284.80,264.98,265.75,"53,886,809"
,"Jan 14, 2022",263.00,271.97,262.10,269.42,"39,583,235"
,"Jan 18, 2022",262.60,266.38,257.70,259.03,"42,530,617"
,"Jan 19, 2022",260.79,265.43,250.52,250.67,"48,831,451"
,"Jan 20, 2022",253.04,255.79,240.78,241.50,"43,518,073"
,"Jan 21, 2022",235.07,248.23,232.63,233.74,"71,895,784"
,"Jan 24, 2022",223.30,233.80,208.88,233.72,"91,581,063"
,"Jan 25, 2022",225.46,229.43,220.00,223.24,"66,461,636"
,"Jan 26, 2022",232.40,240.57,223.00,227.72,"75,595,873"
,"Jan 27, 2022",235.68,239.95,216.75,219.44,"57,335,272"
,"Jan 28, 2022",220.12,228.58,212.96,228.40,"54,377,425"
,"Jan 31, 2022",231.82,245.09,230.52,244.86,"56,467,968"
,"Feb 1, 2022",251.04,251.45,238.90,246.38,"51,892,517"
,"Feb 2, 2022",257.94,258.17,245.53,252.42,"54,341,941"
,"Feb 3, 2022",244.58,250.77,237.80,239.48,"41,017,778"
,"Feb 4, 2022",239.72,246.35,236.32,243.19,"35,482,850"
,"Feb 7, 2022",243.72,251.82,242.02,247.28,"37,686,750"
,"Feb 8, 2022",243.59,252.30,239.80,251.08,"41,035,864"
,"Feb 9, 2022",256.22,267.25,253.53,267.05,"52,428,166"
,"Feb 10, 2022",259.95,269.25,256.00,258.24,"51,319,972"
,"Feb 11, 2022",259.16,261.52,237.73,239.49,"60,547,198"
,"Feb 14, 2022",239.34,248.75,237.55,242.67,"44,042,443"
,"Feb 15, 2022",249.49,265.45,247.84,264.95,"70,175,280"
,"Feb 16, 2022",262.59,265.82,255.52,265.11,"73,267,633"
,"Feb 17, 2022",256.30,257.85,241.65,245.07,"81,059,508"
,"Feb 18, 2022",246.68,249.86,231.00,236.42,"76,125,491"
,"Feb 22, 2022",230.35,240.64,230.00,233.90,"63,342,244"
,"Feb 23, 2022",238.02,241.55,223.01,223.87,"56,651,077"
,"Feb 24, 2022",210.15,238.00,208.90,237.48,"73,580,063"
,"Feb 25, 2022",237.21,242.17,233.81,241.57,"52,886,551"
,"Feb 28, 2022",239.92,246.65,237.07,243.85,"47,731,861"
,"Mar 1, 2022",242.91,243.77,231.32,234.77,"41,205,598"
,"Mar 2, 2022",237.56,244.09,234.15,242.20,"38,964,185"
,"Mar 3, 2022",242.62,243.26,234.69,237.14,"36,509,504"
,"Mar 4, 2022",233.84,236.80,224.82,229.36,"43,201,070"
,"Mar 7, 2022",228.17,230.33,213.30,213.52,"45,082,089"
,"Mar 8, 2022",213.09,223.73,206.50,215.14,"55,746,719"
,"Mar 9, 2022",223.87,232.20,222.47,230.14,"49,274,195"
,"Mar 10, 2022",225.31,227.88,218.82,226.58,"42,806,565"
,"Mar 11, 2022",230.22,231.45,220.46,221.00,"36,720,857"
,"Mar 14, 2022",218.69,222.62,211.59,213.30,"38,535,424"
,"Mar 15, 2022",215.18,230.38,213.22,229.73,"49,199,569"
,"Mar 16, 2022",235.00,245.97,231.72,244.96,"67,142,174"
,"Mar 17, 2022",241.20,248.42,239.06,247.66,"47,194,119"
,"Mar 18, 2022",247.99,265.69,246.24,264.53,"73,071,856"
,"Mar 21, 2022",265.07,271.52,259.67,267.34,"59,172,708"
,"Mar 22, 2022",267.27,272.38,260.72,265.24,"54,700,710"
,"Mar 23, 2022",261.26,266.12,255.75,256.34,"50,211,986"
,"Mar 24, 2022",261.66,283.20,259.07,281.50,"87,737,914"
,"Mar 25, 2022",278.86,283.58,272.71,276.92,"57,901,618"
,"Mar 28, 2022",277.56,282.50,272.06,282.19,"42,549,392"
,"Mar 29, 2022",286.95,289.46,279.80,286.56,"48,898,440"
,"Mar 30, 2022",283.04,284.96,275.03,276.90,"46,348,713"
,"Mar 31, 2022",277.82,282.48,272.70,272.86,"52,344,022"
,"Apr 1, 2022",273.75,274.96,262.67,267.12,"51,723,511"
,"Apr 4, 2022",267.28,275.58,266.13,273.60,"39,770,782"
,"Apr 5, 2022",272.54,273.19,258.20,259.31,"43,661,473"
,"Apr 6, 2022",249.34,253.00,240.03,244.07,"70,383,256"
,"Apr 7, 2022",244.41,247.22,234.78,242.08,"55,799,236"
,"Apr 8, 2022",239.17,239.23,230.62,231.19,"52,478,064"
,"Apr 11, 2022",222.14,223.20,216.60,219.17,"57,520,684"
,"Apr 12, 2022",225.37,227.25,212.82,215.04,"66,225,807"
,"Apr 13, 2022",217.28,225.00,214.55,222.03,"51,694,344"
,"Apr 14, 2022",225.05,227.77,211.63,212.58,"56,909,685"
,"Apr 18, 2022",212.00,220.88,210.79,217.83,"52,570,061"
,"Apr 19, 2022",217.20,223.73,213.14,221.98,"51,278,058"
,"Apr 20, 2022",225.17,226.70,212.00,214.82,"46,897,444"
,"Apr 21, 2022",217.09,223.92,200.00,201.83,"65,620,944"
,"Apr 22, 2022",203.03,204.86,195.00,195.15,"62,471,343"
,"Apr 25, 2022",192.02,199.45,190.96,199.02,"64,156,561"
,"Apr 26, 2022",197.18,197.88,186.70,187.88,"65,314,250"
,"Apr 27, 2022",185.98,191.67,182.90,184.15,"49,946,017"
,"Apr 28, 2022",189.67,200.37,184.90,197.82,"57,032,671"
,"Apr 29, 2022",194.02,201.28,185.17,185.47,"50,043,491"
,"May 2, 2022",185.41,195.74,183.91,195.33,"57,204,868"
,"May 3, 2022",194.00,198.25,191.33,196.02,"47,575,084"
,"May 4, 2022",199.23,204.00,187.51,203.34,"64,885,463"
,"May 5, 2022",198.67,199.25,185.00,188.44,"62,633,141"
,"May 6, 2022",187.36,195.12,179.90,186.75,"63,329,672"
,"May 9, 2022",180.34,182.55,168.27,169.50,"64,445,451"
,"May 10, 2022",176.89,181.98,170.25,175.95,"76,147,429"
,"May 11, 2022",173.47,177.53,165.68,166.30,"67,016,703"
,"May 12, 2022",162.19,167.88,155.67,161.75,"70,872,837"
,"May 13, 2022",167.88,179.28,165.93,177.06,"67,043,651"
,"May 16, 2022",175.09,177.88,171.06,172.64,"52,144,598"
,"May 17, 2022",180.74,183.71,176.34,181.77,"58,582,971"
,"May 18, 2022",177.05,181.18,168.64,169.38,"54,516,106"
,"May 19, 2022",169.37,176.87,167.34,171.24,"62,130,959"
,"May 20, 2022",173.32,174.10,157.55,166.94,"73,910,526"
,"May 23, 2022",162.74,169.15,161.79,168.98,"63,988,869"
,"May 24, 2022",165.10,165.97,157.80,161.54,"58,855,002"
,"May 25, 2022",160.20,171.11,160.00,169.75,"78,113,190"
,"May 26, 2022",160.36,180.92,160.22,178.51,"99,657,452"
,"May 27, 2022",181.86,188.81,181.00,188.11,"73,837,935"
,"May 31, 2022",189.80,192.00,183.50,186.72,"66,409,951"
,"Jun 1, 2022",187.24,190.53,181.22,183.20,"54,451,390"
,"Jun 2, 2022",182.92,196.19,181.98,195.92,"64,865,580"
,"Jun 3, 2022",190.82,193.32,185.22,187.20,"59,877,870"
,"Jun 6, 2022",191.39,193.37,185.64,187.86,"42,240,615"
,"Jun 7, 2022",184.72,190.00,181.88,189.26,"38,891,411"
,"Jun 8, 2022",187.99,191.80,185.35,186.48,"36,325,246"
,"Jun 9, 2022",184.81,189.33,180.41,180.48,"39,557,379"
,"Jun 10, 2022",176.00,176.97,168.69,169.74,"46,564,966"
,"Jun 13, 2022",160.00,163.12,156.06,156.47,"60,415,338"
,"Jun 14, 2022",157.31,160.66,154.12,158.36,"46,967,952"
,"Jun 15, 2022",160.95,168.68,159.26,165.27,"56,393,565"
,"Jun 16, 2022",158.60,159.42,154.01,156.01,"54,574,867"
,"Jun 17, 2022",156.48,159.95,153.28,158.80,"63,033,397"
,"Jun 21, 2022",164.75,170.08,164.07,165.66,"48,308,888"
,"Jun 22, 2022",162.26,166.62,161.80,163.60,"43,799,744"
,"Jun 23, 2022",165.19,165.85,158.53,162.25,"46,367,959"
,"Jun 24, 2022",165.00,171.40,163.10,171.26,"47,215,283"
,"Jun 27, 2022",173.12,173.30,166.26,168.69,"42,796,788"
,"Jun 28, 2022",169.00,172.02,159.45,159.82,"46,185,936"
,"Jun 29, 2022",158.14,158.20,151.70,155.42,"48,235,228"
,"Jun 30, 2022",153.61,155.67,148.62,151.59,"68,607,003"
,"Jul 1, 2022",148.99,150.63,143.92,145.23,"57,761,008"
,"Jul 5, 2022",141.75,149.71,140.55,149.64,"65,220,761"
,"Jul 6, 2022",150.10,153.19,147.89,151.30,"52,906,586"
,"Jul 7, 2022",154.56,159.45,153.89,158.58,"49,290,276"
,"Jul 8, 2022",154.30,160.37,153.89,158.38,"46,797,176"
,"Jul 11, 2022",155.26,155.27,150.38,151.52,"43,838,873"
,"Jul 12, 2022",152.68,154.31,148.77,150.82,"45,848,310"
,"Jul 13, 2022",145.90,153.75,144.65,151.64,"52,191,834"
,"Jul 14, 2022",151.08,154.73,147.28,153.72,"45,623,484"
,"Jul 15, 2022",156.59,157.82,154.45,157.62,"38,593,547"
,"Jul 18, 2022",163.02,168.97,160.02,161.01,"67,051,745"
,"Jul 19, 2022",164.86,171.10,161.72,169.92,"70,236,608"
,"Jul 20, 2022",169.47,179.33,168.01,178.07,"76,053,779"
,"Jul 21, 2022",178.85,181.44,175.45,180.50,"55,704,928"
,"Jul 22, 2022",178.93,179.67,171.37,173.19,"53,667,088"
,"Jul 25, 2022",170.19,171.24,166.49,170.24,"48,074,751"
,"Jul 26, 2022",168.89,169.19,164.78,165.33,"39,786,491"
,"Jul 27, 2022",170.32,179.36,169.13,177.90,"56,977,623"
,"Jul 28, 2022",179.75,181.40,174.40,179.84,"47,464,628"
,"Jul 29, 2022",178.13,182.44,176.92,181.63,"43,546,042"
,"Aug 1, 2022",181.82,188.46,179.90,184.41,"47,646,904"
,"Aug 2, 2022",181.22,189.38,180.92,185.26,"48,952,692"
,"Aug 3, 2022",181.84,189.68,181.37,188.93,"41,814,557"
,"Aug 4, 2022",188.49,192.74,187.60,192.15,"40,965,227"
,"Aug 5, 2022",188.10,192.29,186.66,189.89,"38,606,829"
,"Aug 8, 2022",175.02,182.39,172.42,177.93,"98,378,318"
,"Aug 9, 2022",172.52,174.47,167.24,170.86,"66,826,265"
,"Aug 10, 2022",176.98,181.18,173.17,180.97,"59,742,246"
,"Aug 11, 2022",181.31,187.07,178.76,179.42,"50,932,655"
,"Aug 12, 2022",181.60,187.18,179.53,187.09,"47,809,415"
,"Aug 15, 2022",187.01,191.64,186.13,190.32,"45,766,556"
,"Aug 16, 2022",189.20,191.42,185.01,188.79,"45,123,964"
,"Aug 17, 2022",185.23,186.88,181.45,183.35,"44,679,911"
,"Aug 18, 2022",183.01,188.65,181.83,187.73,"41,544,656"
,"Aug 19, 2022",184.06,185.20,177.70,178.49,"44,158,833"
,"Aug 22, 2022",174.90,175.58,169.66,170.34,"40,959,271"
,"Aug 23, 2022",169.89,174.65,169.70,171.81,"36,998,577"
,"Aug 24, 2022",170.12,174.06,168.95,172.22,"52,266,071"
,"Aug 25, 2022",168.44,179.47,168.33,179.13,"77,069,133"
,"Aug 26, 2022",178.57,179.24,162.37,162.60,"76,912,743"
,"Aug 29, 2022",160.20,163.38,157.67,158.01,"49,613,194"
,"Aug 30, 2022",159.60,160.39,151.82,154.68,"53,018,069"
,"Aug 31, 2022",153.84,155.40,149.59,150.94,"57,370,986"
,"Sep 1, 2022",142.09,143.80,132.70,139.37,"117,886,514"
,"Sep 2, 2022",141.00,141.71,135.91,136.47,"74,315,746"
,"Sep 6, 2022",137.31,137.79,133.51,134.65,"53,575,118"
,"Sep 7, 2022",135.63,138.38,133.46,137.14,"51,265,746"
,"Sep 8, 2022",134.59,140.08,133.69,139.90,"62,487,312"
,"Sep 9, 2022",141.57,144.74,141.26,143.87,"48,712,842"
,"Sep 12, 2022",143.69,145.47,141.98,145.05,"48,415,924"
,"Sep 13, 2022",138.02,139.22,130.99,131.31,"71,495,563"
,"Sep 14, 2022",132.54,132.90,129.13,131.28,"58,850,654"
,"Sep 15, 2022",130.15,132.33,127.90,129.29,"52,362,516"
,"Sep 16, 2022",127.42,132.12,126.17,131.98,"67,075,140"
,"Sep 19, 2022",130.12,134.63,130.10,133.82,"56,968,528"
,"Sep 20, 2022",132.15,134.83,130.57,131.76,"52,481,775"
,"Sep 21, 2022",132.13,140.31,131.10,132.61,"80,767,940"
,"Sep 22, 2022",130.70,131.49,124.28,125.61,"75,916,216"
,"Sep 23, 2022",124.20,126.11,122.57,125.16,"66,330,931"
,"Sep 26, 2022",124.91,126.59,122.14,122.28,"54,734,269"
,"Sep 27, 2022",125.07,127.36,122.58,124.13,"55,385,406"
,"Sep 28, 2022",124.10,128.23,123.54,127.36,"54,241,388"
,"Sep 29, 2022",124.48,125.00,119.46,122.20,"53,276,312"
,"Sep 30, 2022",120.87,126.33,120.75,121.39,"56,563,842"
,"Oct 3, 2022",123.47,126.78,121.05,125.12,"54,747,847"
,"Oct 4, 2022",128.79,132.20,128.79,131.67,"58,418,167"
,"Oct 5, 2022",129.11,133.21,126.21,132.09,"50,713,073"
,"Oct 6, 2022",132.20,136.56,131.03,131.30,"64,415,689"
,"Oct 7, 2022",125.05,126.70,120.22,120.76,"67,247,816"
,"Oct 10, 2022",120.37,121.24,114.08,116.70,"69,869,925"
,"Oct 11, 2022",115.61,118.46,112.83,115.86,"66,748,163"
,"Oct 12, 2022",115.79,117.35,113.45,115.00,"49,259,019"
,"Oct 13, 2022",109.71,120.78,108.13,119.60,"85,010,301"
,"Oct 14, 2022",120.57,121.11,112.04,112.27,"71,343,199"
,"Oct 17, 2022",115.18,119.48,115.17,118.88,"58,077,417"
,"Oct 18, 2022",123.44,124.92,116.18,119.67,"65,936,206"
,"Oct 19, 2022",118.79,123.50,118.34,120.51,"52,313,061"
,"Oct 20, 2022",121.13,127.69,121.05,121.94,"65,239,761"
,"Oct 21, 2022",120.98,124.98,118.87,124.66,"60,949,441"
,"Oct 24, 2022",125.08,127.10,120.64,125.99,"51,745,740"
,"Oct 25, 2022",126.94,133.00,126.64,132.61,"50,548,233"
,"Oct 26, 2022",128.69,133.88,127.08,128.96,"53,553,329"
,"Oct 27, 2022",136.30,138.38,131.22,131.76,"58,311,308"
,"Oct 28, 2022",131.04,138.50,130.61,138.34,"52,103,993"
,"Oct 31, 2022",137.78,138.38,132.97,134.97,"48,634,099"
,"Nov 1, 2022",138.11,139.25,135.19,135.43,"43,281,690"
,"Nov 2, 2022",138.50,142.10,132.11,132.19,"67,262,784"
,"Nov 3, 2022",130.43,137.81,129.56,134.21,"50,006,486"
,"Nov 4, 2022",139.86,142.29,136.97,141.56,"61,257,591"
,"Nov 7, 2022",142.28,144.12,139.54,143.01,"41,006,095"
,"Nov 8, 2022",148.01,148.91,142.16,146.02,"59,529,199"
,"Nov 9, 2022",141.62,142.11,137.59,137.76,"45,441,366"
,"Nov 10, 2022",148.00,157.73,145.47,157.50,"70,081,925"
,"Nov 11, 2022",158.07,163.89,154.82,163.27,"65,548,747"
,"Nov 14, 2022",162.18,165.40,159.22,162.95,"52,785,245"
,"Nov 15, 2022",167.22,169.98,163.82,166.66,"54,587,550"
,"Nov 16, 2022",161.62,163.62,158.73,159.10,"64,954,684"
,"Nov 17, 2022",157.15,162.66,155.35,156.77,"71,089,356"
,"Nov 18, 2022",159.66,160.02,151.20,154.09,"49,207,165"
,"Nov 21, 2022",151.47,154.77,150.80,153.17,"40,473,931"
,"Nov 22, 2022",153.28,160.58,151.22,160.38,"47,286,607"
,"Nov 23, 2022",160.98,165.27,160.48,165.19,"42,724,093"
,"Nov 25, 2022",163.18,164.87,161.72,162.70,"16,793,430"
,"Nov 28, 2022",160.26,163.57,157.25,158.27,"30,415,201"
,"Nov 29, 2022",158.27,159.32,155.20,156.39,"29,838,449"
,"Nov 30, 2022",156.97,169.30,155.97,169.23,"56,529,822"
,"Dec 1, 2022",169.99,172.65,166.35,171.35,"47,097,657"
,"Dec 2, 2022",166.59,169.33,164.45,168.76,"37,138,858"
,"Dec 5, 2022",166.79,169.95,164.72,166.10,"35,225,517"
,"Dec 6, 2022",165.30,165.73,158.19,159.87,"35,269,427"
,"Dec 7, 2022",157.72,161.86,156.67,161.20,"37,238,758"
,"Dec 8, 2022",162.73,171.79,159.59,171.69,"51,545,554"
,"Dec 9, 2022",171.60,175.83,169.75,170.01,"46,533,819"
,"Dec 12, 2022",170.37,175.38,167.97,175.35,"45,732,780"
,"Dec 13, 2022",185.31,187.90,177.11,180.72,"65,658,876"
,"Dec 14, 2022",179.87,182.52,174.20,176.74,"49,688,810"
,"Dec 15, 2022",171.46,173.20,167.00,169.52,"47,854,210"
,"Dec 16, 2022",168.64,170.41,164.10,165.71,"47,823,193"
,"Dec 19, 2022",165.72,166.09,161.45,162.54,"35,403,877"
,"Dec 20, 2022",160.64,163.10,158.52,160.85,"40,325,979"
,"Dec 21, 2022",161.14,166.27,161.02,165.01,"32,502,538"
,"Dec 22, 2022",160.94,161.38,148.82,153.39,"56,504,527"
,"Dec 23, 2022",151.96,153.39,148.83,152.06,"34,932,563"
,"Dec 27, 2022",150.74,151.00,140.56,141.21,"46,490,226"
,"Dec 28, 2022",139.27,142.62,138.84,140.36,"35,106,645"
,"Dec 29, 2022",144.02,146.83,142.27,146.03,"35,492,324"
,"Dec 30, 2022",143.34,146.29,142.33,146.14,"31,048,983"
,"Jan 3, 2023",148.51,149.96,140.96,143.15,"40,127,658"
,"Jan 4, 2023",145.67,148.53,142.41,147.49,"43,132,360"
,"Jan 5, 2023",144.91,145.64,141.48,142.65,"38,916,811"
,"Jan 6, 2023",144.74,150.10,140.34,148.59,"40,504,362"
,"Jan 9, 2023",152.84,160.56,151.41,156.28,"50,423,056"
,"Jan 10, 2023",155.07,159.62,154.72,159.09,"38,410,126"
,"Jan 11, 2023",158.40,160.28,155.63,160.01,"35,328,493"
,"Jan 12, 2023",161.00,166.37,154.92,165.11,"55,140,906"
,"Jan 13, 2023",162.78,169.22,161.65,168.99,"44,728,706"
,"Jan 17, 2023",168.99,177.28,168.99,177.02,"51,110,216"
,"Jan 18, 2023",176.67,178.73,172.82,173.77,"43,962,355"
,"Jan 19, 2023",170.36,171.97,167.31,167.65,"45,293,160"
,"Jan 20, 2023",170.11,178.56,168.25,178.39,"56,496,712"
,"Jan 23, 2023",180.64,192.45,178.18,191.93,"65,516,259"
,"Jan 24, 2023",188.27,194.95,188.20,192.65,"49,620,410"
,"Jan 25, 2023",189.13,193.70,185.80,193.23,"44,953,711"
,"Jan 26, 2023",197.01,201.66,192.78,198.02,"48,953,542"
,"Jan 27, 2023",194.62,206.28,194.05,203.65,"54,214,198"
,"Jan 30, 2023",199.50,201.40,191.50,191.62,"48,861,115"
,"Jan 31, 2023",191.70,196.87,189.50,195.37,"49,801,658"
,"Feb 1, 2023",196.91,211.92,196.11,209.43,"66,047,704"
,"Feb 2, 2023",210.00,219.49,207.00,217.09,"56,427,580"
,"Feb 3, 2023",210.00,217.45,207.89,211.00,"42,936,595"
,"Feb 6, 2023",208.06,215.70,207.86,210.89,"45,219,709"
,"Feb 7, 2023",213.82,222.59,211.50,221.73,"66,414,961"
,"Feb 8, 2023",223.87,228.78,220.08,222.05,"55,965,122"
,"Feb 9, 2023",226.06,230.20,221.20,223.37,"52,387,578"
,"Feb 10, 2023",216.90,220.78,208.11,212.65,"55,073,675"
,"Feb 13, 2023",215.38,220.48,209.62,217.88,"47,491,862"
,"Feb 14, 2023",215.78,230.49,213.66,229.71,"67,547,350"
,"Feb 15, 2023",225.49,228.55,221.06,227.64,"42,118,826"
,"Feb 16, 2023",221.33,225.50,219.27,220.02,"41,202,628"
,"Feb 17, 2023",216.31,217.40,209.75,213.88,"46,588,764"
,"Feb 21, 2023",210.00,214.94,206.18,206.55,"41,001,455"
,"Feb 22, 2023",207.07,211.04,204.21,207.54,"51,318,432"
,"Feb 23, 2023",234.40,238.88,230.25,236.64,"111,799,541"
,"Feb 24, 2023",232.25,234.74,229.47,232.86,"58,971,591"
,"Feb 27, 2023",236.70,238.80,234.54,235.01,"45,299,367"
,"Feb 28, 2023",233.72,238.25,232.06,232.16,"45,596,280"
,"Mar 1, 2023",231.92,232.56,225.08,226.98,"46,002,562"
,"Mar 2, 2023",224.88,233.80,224.32,233.14,"39,007,465"
,"Mar 3, 2023",233.20,239.00,231.30,238.90,"41,239,330"
,"Mar 6, 2023",238.91,242.48,234.87,235.54,"43,742,923"
,"Mar 7, 2023",236.00,241.25,232.41,232.88,"51,515,388"
,"Mar 8, 2023",234.87,242.00,234.24,241.81,"51,357,339"
,"Mar 9, 2023",241.75,244.54,233.83,234.36,"50,125,699"
,"Mar 10, 2023",234.09,236.27,227.26,229.65,"47,486,565"
,"Mar 13, 2023",227.52,232.98,222.97,229.66,"42,189,032"
,"Mar 14, 2023",234.96,242.19,234.60,240.63,"47,491,013"
,"Mar 15, 2023",237.61,242.86,233.60,242.28,"52,448,574"
,"Mar 16, 2023",240.27,255.88,238.94,255.41,"58,494,626"
,"Mar 17, 2023",259.82,263.99,256.68,257.25,"84,854,656"
